host_ip,n_connections,n_unique_dsts,n_unique_dst_ports,total_bytes_sent,avg_bytes_sent,std_bytes_sent,total_bytes_received,avg_bytes_received,bytes_ratio,total_packets_sent,avg_packets_sent,total_packets_received,packets_ratio,avg_duration,std_duration,max_duration,min_duration,proto_entropy,tcp_ratio,udp_ratio,icmp_ratio,dst_entropy,port_entropy,n_unique_services,service_entropy,state_entropy,rst_ratio,fin_ratio,established_ratio,avg_sttl,std_sttl,avg_dttl,avg_sload,max_sload,avg_dload,total_sloss,loss_ratio,avg_sjit,conns_per_dst,bytes_per_conn,attack_ratio,primary_attack_cat,cluster,anomaly_score
000000,100,6.66,0,101146,1011.46,957.737015209828,15050,150.5,6.7206644518272425,964,9.64,212,4.547169811320755,8.539486799999999,12.804479208746852,59.995678,0.0,1.205497485722093,0.65,0.27,0.0,2.1043366598147357,0,2,0.36592365090022316,1.575050010385146,0.0,0.28,0.0,220.24,81.66216685191188,70.56,258328081.12177536,3252000000.0,904.97238215,631,0.6545643153526971,3000.8222031400005,15.015015015015015,1161.96,0.0,Normal,1,0.4036010781531083
000001,100,10.46,0,77508,775.08,726.7136164983015,26976,269.76,2.873220640569395,936,9.36,350,2.6742857142857144,9.268213650000002,8.316647984374038,24.755817,6e-06,0.0,1.0,0.0,0.0,3.0461417816447205,0,2,0.584238811642856,0.9927744539878083,0.0,0.45,0.0,227.12,66.95713689979718,113.4,604567.94775018,59999996.0,1778.28033323,517,0.5523504273504274,5453.95453711,9.56022944550669,1044.84,0.0,Normal,1,0.35874664653792787
000002,100,7.8,0,102310,1023.1,2007.0701572594855,1796308,17963.08,0.0569557113813444,1112,11.12,1666,0.6674669867947179,6.925113260000001,10.9872202540687,31.542561,1e-06,1.471851484623515,0.71,0.09,0.0,1.903038270112912,0,4,0.8567631711605322,1.5332391539578218,0.0,0.46,0.0,229.04,64.89555244600918,115.92,74684500.17433357,2826666496.0,24727.720526089997,246,0.22122302158273383,4745.220180679999,12.820512820512821,18986.18,0.57,Normal,1,0.25395971624772207
000003,100,4.57,0,760993,7609.93,33594.9643768214,2316939,23169.39,0.32844757673810143,1884,18.84,2554,0.7376664056382146,3.1474480999999996,7.788187702341735,44.22596,3e-06,1.149600551377689,0.76,0.11,0.0,1.6369145803558778,0,5,1.5492750707107135,0.7950402793845223,0.0,0.76,0.0,204.08,84.64204843714714,191.52,104654023.83437115,2150000128.0,37991.38647819,506,0.26857749469214437,17697.017429859996,21.88183807439825,30779.32,1.0,Fuzzers,1,0.16498110389123521
000004,100,2.96,0,12995964,129959.64,897777.1320079132,277452,2774.52,46.84040482678085,10710,107.1,2148,4.9860335195530725,1.7562876199999997,7.034156572926576,43.982441,1e-06,2.4273772488630816,0.57,0.11,0.0,1.835924074254375,0,8,1.390852829922416,1.0584435889005643,0.0,0.56,0.0,213.68,78.5971547021438,143.64,95659485.83362135,2792000000.0,28778.6453116,5067,0.473109243697479,13505.126726550001,33.78378378378378,132734.16,1.0,Exploits,3,0.691453405413042
000005,100,2.95,0,941421,9414.21,43060.54044669568,15800463,158004.63,0.059581861620131,3176,31.76,12374,0.2566672054307419,1.23098489,5.841444082191061,57.237827,1e-06,3.1989269678259604,0.44,0.09,0.0,1.5008020530571577,0,6,1.2953317573288499,1.0619584351357512,0.0,0.44,0.01,209.84,81.20689625887692,111.48,80958069.01677647,416000000.0,102050.14401206,429,0.13507556675062973,1198.9213185800002,33.89830508474576,167418.84,1.0,Exploits,0,0.5481062293026822
000006,100,3.57,0,367183,3671.83,16413.797881971197,310350,3103.5,1.183125503463831,942,9.42,700,1.3457142857142856,0.55824778,1.3206367375984505,7.200432,2e-06,3.156133864884032,0.44,0.11,0.0,1.3219280948873624,0,6,1.2225633027955334,0.9895875212220555,0.0,0.44,0.0,225.2,68.90309400626626,110.88,70330311.02934046,400000000.0,36113.11977140999,254,0.26963906581740976,1569.39923243,28.011204481792717,6775.33,1.0,Exploits,1,0.04470451795327046
000007,100,4.26,0,410415,4104.15,16647.7854646275,214778,2147.78,1.9108800715157046,1144,11.44,662,1.7280966767371602,0.8740546299999998,3.476352682560269,32.550049,2e-06,3.2914008756438853,0.43,0.04,0.0,1.3561438102252754,0,6,1.247121288978805,0.9858150371789199,0.0,0.43,0.0,219.44,74.13560057575086,108.36,55895770.922014475,336000000.0,17590.332075899998,276,0.24125874125874125,3994.06232707,23.474178403755868,6251.93,1.0,Exploits,1,0.07067324666695252
000008,100,3.62,0,528357,5283.57,22029.37846698166,496028,4960.28,1.065175756207311,1098,10.98,860,1.2767441860465116,0.8032960000000001,1.4426441466764415,10.46607,1e-06,2.854217569003688,0.53,0.06,0.0,1.4168397419128291,0,4,0.7944842391835021,0.9974015885677396,0.0,0.53,0.0,238.64,52.35070547410382,133.56,84114918.47966054,672000000.0,19732.471805729998,314,0.2859744990892532,3597.8257150300005,27.624309392265193,10243.85,1.0,Exploits,1,0.04423894134897827
000009,100,2.22,0,1274461,12744.61,102365.75334878625,2144258,21442.58,0.5943599137790322,2112,21.12,2424,0.8712871287128713,1.2657267599999997,3.119693185158804,28.213135,1e-06,1.787325114022038,0.67,0.13,0.0,1.280956313831056,0,7,1.709486118142653,0.9795764321680173,0.0,0.67,0.01,200.24,86.6420850920089,171.36,79122803.57921858,1034666624.0,78978.92274376,669,0.31676136363636365,8295.056619529998,45.04504504504504,34187.19,1.0,Exploits,1,0.13221301166325145
