host_ip,n_connections,n_unique_dsts,n_unique_dst_ports,total_bytes_sent,avg_bytes_sent,std_bytes_sent,total_bytes_received,avg_bytes_received,bytes_ratio,total_packets_sent,avg_packets_sent,total_packets_received,packets_ratio,avg_duration,std_duration,max_duration,min_duration,proto_entropy,tcp_ratio,udp_ratio,icmp_ratio,dst_entropy,port_entropy,n_unique_services,service_entropy,state_entropy,rst_ratio,fin_ratio,established_ratio,avg_sttl,std_sttl,avg_dttl,avg_sload,max_sload,avg_dload,total_sloss,loss_ratio,avg_sjit,conns_per_dst,bytes_per_conn,attack_ratio,primary_attack_cat,cluster,anomaly_score,is_anomaly
000000,17,5.529411764705882,0,18504,1088.4705882352941,781.7865851406523,3618,212.8235294117647,5.114427860696518,137,8.058823529411764,44,3.1136363636363638,7.584547529411765,14.920172317346054,59.995678,0.0,1.37928048729106,0.5294117647058824,0.35294117647058826,0.0,2.1219905243786106,0,2,0.5225593745369408,1.522189872165821,0.0,0.29411764705882354,0.0,201.52941176470588,98.72823661892454,74.11764705882354,284919907.64267254,1454000000.0,1093.0143680588235,76,0.5547445255474452,3425.5595231764705,3.0744680851063833,1301.2941176470588,0.0,Normal,-1,0.28670329609426565,False
000001,23,9.652173913043478,0,17498,760.7826086956521,838.0654648177301,3446,149.82608695652175,5.077771329077191,192,8.347826086956522,62,3.096774193548387,10.91814808695652,7.866773150522675,21.987556,0.696721,0.0,1.0,0.0,0.0,2.851477475289912,0,2,0.2580186686648155,0.9321115676166747,0.0,0.34782608695652173,0.0,245.65217391304347,40.034767498958345,87.65217391304348,3789.8010839130443,26007.54102,1024.0088262173913,113,0.5885416666666666,6109.9567795652165,2.3828828828828827,910.6086956521739,0.0,Normal,-1,0.3451037594273707,False
000002,19,7.842105263157895,0,14596,768.2105263157895,704.4092543832872,5256,276.63157894736844,2.7770167427701673,178,9.368421052631579,88,2.022727272727273,4.247903842105263,8.915499453603005,25.758749,3e-06,1.0582770432263342,0.7894736842105263,0.0,0.0,1.5594274086140187,0,2,0.6292492238560347,1.312430802347936,0.0,0.631578947368421,0.0,243.89473684210526,44.04782090314786,159.1578947368421,156218541.28287706,2826666496.0,4906.379921210526,45,0.25280898876404495,3590.7642334736847,2.422818791946309,1044.842105263158,0.7368421052631579,Normal,-1,0.16889682706055895,False
000003,16,2.1875,0,20464,1279.0,535.0464154320321,70688,4418.0,0.2894975101856043,216,13.5,182,1.1868131868131868,2.6476560000000005,6.852111902868216,28.213135,3e-06,0.8683927290103626,0.8125,0.0,0.0,1.1699250014423124,0,4,1.5919171866886994,0.6962122601251458,0.0,0.8125,0.0,182.0,96.0,204.75,64680534.059630126,1034666624.0,46107.050006,45,0.20833333333333334,4105.120760125001,7.314285714285714,5697.0,1.0,Exploits,1,0.10143919666048751,False
000004,16,3.375,0,30098,1881.125,4097.671466821126,27480,1717.5,1.0952692867540028,270,16.875,136,1.9852941176470589,0.7189083125,1.078978818492048,4.490101,3e-06,1.311278124459133,0.75,0.0625,0.0,1.8073549220576042,0,6,1.9197367178034828,1.1216407621868583,0.0,0.6875,0.0,206.0,85.86501033599193,189.0,39183126.631804995,266666656.0,21748.243162812498,40,0.14814814814814814,1989.1007454374999,4.7407407407407405,3598.625,1.0,Exploits,1,0.07768089055250745,False
000005,20,3.05,0,338843,16942.15,63337.39251797721,514591,25729.55,0.6584705134757507,482,24.1,544,0.8860294117647058,0.6553772,0.7649416248566807,1.96472,3e-06,2.821928094887362,0.4,0.1,0.0,1.7004397181410922,0,4,1.478897902987479,0.9709505944546688,0.0,0.4,0.0,186.8,93.95721310648184,100.8,73242059.5958762,266666656.0,157465.26662875,165,0.34232365145228216,994.4560230499999,6.557377049180328,42671.7,1.0,Exploits,1,0.1356077235893154,False
000006,15,3.6666666666666665,0,35524,2368.266666666667,6646.471023533215,74272,4951.466666666666,0.4782959931064196,136,9.066666666666666,136,1.0,0.6521134,1.1706832061954124,4.273954,2e-06,2.5967916319816364,0.4666666666666667,0.06666666666666667,0.0,1.2630344058337937,0,3,0.9055872616982602,0.9967916319816367,0.0,0.4666666666666667,0.0,228.4,67.55822885270369,117.6,85466635.00690049,400000000.0,32558.84563806667,34,0.25,2911.4272998666665,4.090909090909091,7319.733333333334,1.0,Exploits,1,0.03127346560103447,False
000007,22,3.5,0,17360,789.0909090909091,724.8431626149276,139030,6319.545454545455,0.12486513702078689,208,9.454545454545455,200,1.04,1.8738178636363636,6.870190263197592,32.550049,8e-06,2.5478976275004666,0.5,0.045454545454545456,0.0,1.2954558835261714,0,3,0.9373012413074897,1.0,0.0,0.5,0.0,236.54545454545453,56.495029088303966,126.0,40393255.18333573,100000000.0,41017.948493772725,32,0.15384615384615385,11804.153548318181,6.285714285714286,7108.636363636364,1.0,Exploits,1,0.06886585878275224,False
000008,20,4.2,0,51959,2597.95,9120.683264311658,312598,15629.9,0.1662166744508922,182,9.1,304,0.5986842105263158,0.60722515,1.0890339787795649,4.23501,3e-06,3.021928094887362,0.4,0.05,0.0,1.4594316186372973,0,3,0.747584679824574,0.9709505944546688,0.0,0.4,0.0,244.4,42.93250516799597,100.8,87525519.77755241,266666656.0,30548.84609985,37,0.2032967032967033,2312.4714621499998,4.761904761904762,18227.85,1.0,Exploits,1,0.07342661688091104,False
000009,24,3.25,0,91824,3826.0,9812.420372426845,221703,9237.625,0.4141757215734564,348,14.5,390,0.8923076923076924,0.91903925,1.3496590362844867,5.139651,3e-06,1.4396763215021655,0.7083333333333334,0.08333333333333333,0.0,1.437405312307298,0,4,1.7306502730537434,0.8708644692353646,0.0,0.7083333333333334,0.0,174.0,96.6931497955843,178.5,96659194.433607,1034666624.0,81283.03300091666,103,0.2959770114942529,3890.112064166667,7.384615384615385,13063.625,1.0,Exploits,1,0.07104168772121705,False
