host_ip,n_connections,n_unique_dsts,n_unique_dst_ports,total_bytes_sent,avg_bytes_sent,std_bytes_sent,total_bytes_received,avg_bytes_received,bytes_ratio,total_packets_sent,avg_packets_sent,total_packets_received,packets_ratio,avg_duration,std_duration,max_duration,min_duration,proto_entropy,tcp_ratio,udp_ratio,icmp_ratio,dst_entropy,port_entropy,n_unique_services,service_entropy,state_entropy,rst_ratio,fin_ratio,established_ratio,avg_sttl,std_sttl,avg_dttl,avg_sload,max_sload,avg_dload,total_sloss,loss_ratio,avg_sjit,conns_per_dst,bytes_per_conn,attack_ratio,primary_attack_cat,anomaly_score,anomaly_rank
002576,73,31.041095890410958,0,25115,344.041095890411,1499.2428314759807,445475,6102.397260273972,0.05637802345810652,262,3.589041095890411,400,0.655,0.0928625616438356,0.484133226755932,3.71911,3e-06,0.306424729870515,0.0547945205479452,0.9452054794520548,0.0,4.389491378699997,0,4,0.3886165106924328,0.306424729870515,0.0,0.0547945205479452,0.0,246.1095890410959,38.37807593312578,13.808219178082192,72910099.97921121,152000000.0,14502.150484958904,26,0.09923664122137404,188.3001047260274,2.351721094439541,6446.438356164384,1.0,Generic,1.0,1
002034,100,3.07,0,17453565,174535.65,1235539.6389487402,14993780,149937.8,1.164053694265222,15821,158.21,13706,1.1543119801546768,5.40476344,16.015097653499208,59.998779,3e-06,1.9880336449992202,0.56,0.16,0.0,1.531069492725954,0,7,1.7979312608273423,1.2757361562675151,0.0,0.53,0.03,202.16,85.66964032098694,141.12,79117829.88127911,1064000000.0,64778.534278839994,6653,0.4205170343214715,1816.78381956,32.57328990228013,324473.45,1.0,Exploits,0.8023263900190096,2
000095,100,1.44,0,33925629,339256.29,1932803.686471339,1838067,18380.67,18.457231972501546,26726,267.26,5816,4.5952544704264096,2.9331864500000004,10.889934203711462,59.982727,3e-06,0.6092592814269931,0.89,0.06,0.0,1.15704371014558,0,7,1.9581232244598858,0.673202098256523,0.0,0.87,0.04,161.84,96.40641246118624,225.48,8850870.993755981,554666624.0,74154.76002604,12916,0.4832747137618798,2713.48811721,69.44444444444444,357636.96,1.0,Exploits,0.7607055263873659,3
001866,100,2.84,0,24311563,243115.63,1384865.2580208534,517976,5179.76,46.93569393176518,19040,190.4,3462,5.499711149624495,2.22580169,9.66528120921706,59.997837,0.0,1.7512089099442978,0.6,0.04,0.0,1.3391373849195856,0,4,0.6204534362146307,1.097455974645788,0.0,0.58,0.02,220.24,81.66216685191188,151.2,40657857.165220186,804000000.0,16495.852170870003,9279,0.4873424369747899,33786.03606989,35.21126760563381,248295.39,0.57,Normal,0.6803906836080613,4
002481,100,16.41,0,7562568,75625.68,687828.9581800905,7137462,71374.62,1.0595598267283244,7592,75.92,6644,1.1426851294400964,5.642332909999999,17.10404823416837,59.988781,2e-06,1.2557550798791468,0.18,0.71,0.0,3.785550551739256,0,5,1.4248341418474493,0.8425440980969009,0.0,0.15,0.04,236.72,55.22371032281499,45.96,122382062.29235111,2128000000.0,11266.53002939,3104,0.4088514225500527,8584.76799076,6.0938452163315056,147000.3,1.0,Generic,0.6620916836755824,5
001520,100,3.27,0,12448451,124484.51,825191.0006453847,269909,2699.09,46.12091853180146,10198,101.98,2076,4.9123314065510595,7.72115342,19.068291334688833,59.976814,3e-06,2.384575806280112,0.49,0.04,0.0,1.6182386555954547,0,5,0.7972685007309206,1.356264524955641,0.0,0.47,0.02,234.8,57.890178158930624,123.48,47534790.9854,541333312.0,24461.998884319997,4739,0.46469896058050597,2615.4997401800006,30.581039755351682,127183.6,0.85,Exploits,0.6588300951492694,6
001813,100,1.97,0,12653452,126534.52,1185591.8824330408,5088384,50883.84,2.486732919528086,11244,112.44,5944,1.8916554508748318,4.27329084,12.285370316553893,59.965153,1e-06,1.0643837982708073,0.73,0.2,0.0,1.5945485495503542,0,8,2.1622981974456446,1.0078725331880818,0.0,0.71,0.03,171.44,95.53341157559865,186.48,111674243.78894798,2240000000.0,53865.33567451001,4931,0.4385450017787264,2949.6064899499997,50.76142131979695,177418.36,1.0,Exploits,0.6442678514336035,7
000618,100,2.11,0,17967216,179672.16,1421302.9345367092,1552758,15527.58,11.571163053096491,14226,142.26,3544,4.014108352144469,1.7956784,6.77253855527909,59.932209,1e-06,1.3020044834978894,0.54,0.38,0.0,1.7355221772965375,0,4,0.9643202143486311,1.3114620269628148,0.0,0.53,0.04,215.6,77.18690421190749,143.64,50397452.54832262,456000000.0,45427.926933580005,6793,0.47750597497539715,2632.27245644,47.39336492890995,195199.74,1.0,Generic,0.6413817673710235,8
000093,100,1.51,0,13063913,130639.13,1249688.8390435893,1364309,13643.09,9.57547960176177,11012,110.12,3270,3.367584097859327,1.7591949100000002,6.6242626624915255,59.956612,3e-06,0.5951601860848225,0.89,0.09,0.0,1.3504972470841332,0,7,1.919577166969275,0.6267142402224604,0.0,0.88,0.03,169.52,95.78642910141289,227.4,18177714.63074742,1045818176.0,98834.46147123,5137,0.46649110061750815,3724.3187429900004,66.2251655629139,144282.22,1.0,Exploits,0.6272487824392788,9
000108,100,1.87,0,12689263,126892.63,932364.7770474169,3496762,34967.62,3.628860929053793,10950,109.5,4734,2.3130544993662863,5.11192743,13.162673606214057,59.478535,0.0,1.154374116199258,0.76,0.13,0.0,1.495695162624069,0,7,2.0215935416104682,0.9254957457524254,0.0,0.76,0.0,169.52,95.7864291014129,191.52,84249118.58691426,2980000000.0,82074.78911321,4846,0.4425570776255708,5564.87931904,53.475935828877,161860.25,1.0,Exploits,0.6220748031892116,10
